Position,vc,cat,cont_1,cont_2,Fy
90.815,66.64222222,-40.95199272,-15.47050111,-1.99013391,58.82
90.815,66.64222222,-40.95199272,-15.46984416,-1.749429769,58.82
90.815,66.64222222,-40.95199272,-15.46017716,-1.228711411,58.82
90.815,66.64222222,-40.95199272,-15.46504877,-1.959901721,58.82
90.815,66.64222222,-40.95199272,-15.46891656,-1.422593011,58.82
91.29,66.64222222,-40.95199272,-26.96371187,-1.004879742,69.67
91.29,66.64222222,-40.95199272,-26.97610706,-0.280895365,69.67
91.29,66.64222222,-40.95199272,-26.97001819,-0.481110454,69.67
91.29,66.64222222,-40.95199272,-26.96590162,-0.268894807,69.67
91.29,66.64222222,-40.95199272,-26.9707839,-0.894874268,69.67
91.29,66.64222222,-40.95199272,-26.96868853,-1.164964712,69.67
69.85666929,66.64222222,-40.95199272,7.624122537,1.594812608,82.13
69.85666929,66.64222222,-40.95199272,7.624687201,1.289515644,82.13
69.85666929,66.64222222,-40.95199272,7.625013919,1.73928137,82.13
69.85666929,66.64222222,-40.95199272,7.623840689,1.518039521,82.13
69.85666929,66.64222222,-40.95199272,7.625558391,2.039732024,82.13
69.85666929,66.64222222,-40.95199272,7.623909765,1.529501919,82.13
102.8563636,66.995,-29.59256521,-26.89065313,-1.428696781,77.48
102.8563636,66.995,-29.59256521,-26.89082508,-1.107886026,77.48
102.8563636,66.995,-29.59256521,-26.89308934,-0.888900907,77.48
102.8563636,66.995,-29.59256521,-26.89690765,-0.986393028,77.48
102.8563636,66.995,-29.59256521,-26.89793944,-1.006316907,77.48
102.8563636,66.995,-29.59256521,-26.89586105,-0.832590338,77.48
98.42083333,66.995,-29.59256521,-15.41874948,-1.512470253,62.01
98.42083333,66.995,-29.59256521,-15.42361043,-1.21809681,62.01
98.42083333,66.995,-29.59256521,-15.42078062,-1.511521474,62.01
98.42083333,66.995,-29.59256521,-15.42538288,-1.63457894,62.01
98.42083333,66.995,-29.59256521,-15.41455747,-1.480289298,62.01
98.42083333,66.995,-29.59256521,-15.40651343,-0.810051035,62.01
96.35583333,66.995,-29.59256521,7.661208031,0.941164935,96.77
96.35583333,66.995,-29.59256521,7.662470283,0.796183377,96.77
96.35583333,66.995,-29.59256521,7.662692263,0.484373219,96.77
96.35583333,66.995,-29.59256521,7.660388813,1.127174183,96.77
96.35583333,66.995,-29.59256521,7.663819649,0.684947241,96.77
96.35583333,66.995,-29.59256521,7.660332431,0.59135289,96.77
97.27833333,107.474697,-29.59256521,-15.42623059,-1.498546533,59.8
97.27833333,107.474697,-29.59256521,-15.42517943,-1.672708847,59.8
97.27833333,107.474697,-29.59256521,-15.42512547,-1.686658409,59.8
97.27833333,107.474697,-29.59256521,-15.42428832,-1.660887755,59.8
97.27833333,107.474697,-29.59256521,-15.42597311,-1.678375916,59.8
97.27833333,107.474697,-29.59256521,-15.42751658,-1.389387183,59.8
95.03916667,107.474697,-29.59256521,7.652469683,1.062401894,97.54
95.03916667,107.474697,-29.59256521,7.654036068,0.650176228,97.54
95.03916667,107.474697,-29.59256521,7.646990296,0.595070955,97.54
95.03916667,107.474697,-29.59256521,7.645649849,1.026989588,97.54
95.03916667,107.474697,-29.59256521,7.645649849,1.026989588,97.54
95.03916667,107.474697,-29.59256521,7.655981235,0.609507471,97.54
88.75583333,107.474697,-29.59256521,-26.93009991,-1.978903143,78.87
88.75583333,107.474697,-29.59256521,-26.9328024,-1.842614457,78.87
88.75583333,107.474697,-29.59256521,-26.93070693,-1.893360611,78.87
88.75583333,107.474697,-29.59256521,-26.93372215,-1.842793924,78.87
88.75583333,107.474697,-29.59256521,-26.92777833,-1.764790176,78.87
88.75583333,107.474697,-29.59256521,-26.93042524,-1.925336495,78.87
90.815,66.64222222,-29.59256521,-15.4270849,-0.691659935,62.81
90.815,66.64222222,-29.59256521,-15.43250331,-0.830128299,62.81
90.815,66.64222222,-29.59256521,-15.42851171,-0.335308854,62.81
90.815,66.64222222,-29.59256521,-15.43039736,-0.842410978,62.81
90.815,66.64222222,-29.59256521,-15.43670292,-0.900183121,62.81
90.815,66.64222222,-29.59256521,-15.43470333,-0.713378957,62.81
91.29,66.64222222,-29.59256521,7.644231908,0.07409608,98.16
91.29,66.64222222,-29.59256521,7.635583938,0.709512122,98.16
91.29,66.64222222,-29.59256521,7.64240591,0.551299105,98.16
91.29,66.64222222,-29.59256521,7.642895141,0.374982717,98.16
91.29,66.64222222,-29.59256521,7.641797342,0.447447892,98.16
91.29,66.64222222,-29.59256521,7.643239229,0.263977255,98.16
69.85666929,66.64222222,-29.59256521,-26.95326736,-1.479673131,77.17
69.85666929,66.64222222,-29.59256521,-26.93751177,-1.942798575,77.17
69.85666929,66.64222222,-29.59256521,-26.94110514,-2.11834589,77.17
69.85666929,66.64222222,-29.59256521,-26.94342603,-2.262224567,77.17
69.85666929,66.64222222,-29.59256521,-26.93857551,-1.901694073,77.17
69.85666929,66.64222222,-29.59256521,-26.9412065,-2.147039454,77.17
102.8563636,107.474697,-63.09941375,7.668547823,1.699458499,61.8
102.8563636,107.474697,-63.09941375,7.681636762,1.454548862,61.8
102.8563636,107.474697,-63.09941375,7.665588965,1.77005172,61.8
102.8563636,107.474697,-63.09941375,7.665798746,1.806925361,61.8
102.8563636,107.474697,-63.09941375,7.667087597,1.994498838,61.8
102.8563636,107.474697,-63.09941375,7.6635117,2.291334082,61.8
98.42083333,107.474697,-63.09941375,24.77704123,2.218715522,52.39
98.42083333,107.474697,-63.09941375,24.76075756,2.130019167,52.39
98.42083333,107.474697,-63.09941375,24.76817312,2.029065259,52.39
98.42083333,107.474697,-63.09941375,24.75923848,2.962650338,52.39
98.42083333,107.474697,-63.09941375,24.7605271,3.323463193,52.39
98.42083333,107.474697,-63.09941375,24.76532936,2.161405205,52.39
96.35583333,107.474697,-63.09941375,35.07519431,1.723306469,56.16
96.35583333,107.474697,-63.09941375,35.06048083,3.501497673,56.16
96.35583333,107.474697,-63.09941375,35.05942462,4.167428503,56.16
96.35583333,107.474697,-63.09941375,35.06057614,3.431160969,56.16
96.35583333,107.474697,-63.09941375,35.05916082,3.95223826,56.16
96.35583333,107.474697,-63.09941375,35.06054366,3.818795672,56.16
97.27833333,107.474697,-63.09941375,7.647191635,0.984320379,61.15
97.27833333,107.474697,-63.09941375,7.651813764,0.942369753,61.15
97.27833333,107.474697,-63.09941375,7.65192986,1.096659156,61.15
97.27833333,107.474697,-63.09941375,7.639148972,1.465036638,61.15
97.27833333,107.474697,-63.09941375,7.642761975,1.316208757,61.15
97.27833333,107.474697,-63.09941375,7.646655017,0.974986691,61.15
95.03916667,107.474697,-63.09941375,-15.46355498,-0.359105377,45.96
95.03916667,107.474697,-63.09941375,-15.46387769,-0.564654207,45.96
95.03916667,107.474697,-63.09941375,-15.46363484,-0.450622943,45.96
95.03916667,107.474697,-63.09941375,-15.45957434,-0.871669263,45.96
95.03916667,107.474697,-63.09941375,-15.46494316,-0.528319204,45.96
95.03916667,107.474697,-63.09941375,-15.46520119,-0.766356714,45.96
88.75583333,107.474697,-63.09941375,24.75943136,-0.023832264,49.88
88.75583333,107.474697,-63.09941375,24.74717705,-0.55442271,49.88
88.75583333,107.474697,-63.09941375,24.74753111,-0.886464711,49.88
88.75583333,107.474697,-63.09941375,24.74818241,-1.457390345,49.88
88.75583333,107.474697,-63.09941375,24.74603104,-1.282586978,49.88
88.75583333,107.474697,-63.09941375,24.74904825,-1.175479048,49.88
90.815,107.474697,-63.09941375,-15.49106677,0.524067354,44.64
90.815,107.474697,-63.09941375,-15.49032166,-0.47044369,44.64
90.815,107.474697,-63.09941375,-15.49149233,-0.657734329,44.64
90.815,107.474697,-63.09941375,-15.4849257,-0.44490371,44.64
90.815,107.474697,-63.09941375,-15.48844282,-0.301050397,44.64
90.815,107.474697,-63.09941375,-15.48770621,-0.319256185,44.64
91.29,107.474697,-63.09941375,35.00558063,2.063605359,54.71
91.29,107.474697,-63.09941375,35.01110609,1.993935313,54.71
91.29,107.474697,-63.09941375,35.00139688,2.412212586,54.71
91.29,107.474697,-63.09941375,35.00157676,1.814080087,54.71
91.29,107.474697,-63.09941375,35.00484835,2.827130726,54.71
91.29,107.474697,-63.09941375,35.00446103,2.490318988,54.71
102.8563636,107.474697,-41.24737769,7.748458067,0.126969987,86.76
102.8563636,107.474697,-41.24737769,7.721542253,0.304619692,86.76
102.8563636,107.474697,-41.24737769,7.719609937,0.529912935,86.76
102.8563636,107.474697,-41.24737769,7.726179537,0.045504214,86.76
102.8563636,107.474697,-41.24737769,7.723576577,0.770489056,86.76
102.8563636,107.474697,-41.24737769,7.732219005,0.344493532,86.76
98.42083333,107.474697,-41.24737769,35.11961819,0.772335406,75.7
98.42083333,107.474697,-41.24737769,35.11884503,1.206562215,75.7
98.42083333,107.474697,-41.24737769,35.12917732,0.825286842,75.7
98.42083333,107.474697,-41.24737769,35.12762957,0.984320379,75.7
98.42083333,107.474697,-41.24737769,35.12004715,0.80997836,75.7
98.42083333,107.474697,-41.24737769,35.12651387,0.703460276,75.7
96.35583333,107.474697,-41.24737769,24.82802586,0.249847748,65.95
96.35583333,107.474697,-41.24737769,24.81687013,0.193921955,65.95
96.35583333,107.474697,-41.24737769,24.8130013,1.092915487,65.95
96.35583333,107.474697,-41.24737769,24.81146755,0.623892061,65.95
96.35583333,107.474697,-41.24737769,24.81012127,1.030168775,65.95
96.35583333,107.474697,-41.24737769,24.824034,0.198434937,65.95
97.27833333,107.474697,-41.24737769,35.10227703,0.130688052,74.33
97.27833333,107.474697,-41.24737769,35.11043976,0.269566796,74.33
97.27833333,107.474697,-41.24737769,35.12683921,-0.198815576,74.33
97.27833333,107.474697,-41.24737769,35.13327859,-0.459469439,74.33
97.27833333,107.474697,-41.24737769,35.10929492,-0.059167519,74.33
97.27833333,107.474697,-41.24737769,35.11745251,-0.245869029,74.33
95.03916667,107.474697,-41.24737769,-15.4316702,0.433934074,55.74
95.03916667,107.474697,-41.24737769,-15.43848004,-0.264382781,55.74
95.03916667,107.474697,-41.24737769,-15.43262154,-0.125273124,55.74
