Position,TCond,vc,cat,cont_1,cont_2,Fx
139.6883333,135.5445714,145.8066667,24.56827075,-29.69506814,-0.9845462,109.1
138.3391667,135.5445714,132.075,24.56827075,31.91018373,0.361468898,177.3
138.3391667,135.5445714,132.075,24.56827075,31.91231339,0.42885685,177.3
138.3391667,135.5445714,132.075,24.56827075,31.91343356,0.451704117,177.3
138.3391667,135.5445714,132.075,24.56827075,31.92170118,0.38400844,177.3
138.3391667,135.5445714,132.075,24.56827075,31.9079772,0.433267177,177.3
138.3391667,135.5445714,132.075,24.56827075,31.91767998,0.391137084,177.3
138.3708333,135.5445714,132.075,24.56827075,7.810413104,-0.622118147,143.5
138.3708333,135.5445714,132.075,24.56827075,7.80458677,-0.315333766,143.5
138.3708333,135.5445714,132.075,24.56827075,7.797146997,-0.212251865,143.5
138.3708333,135.5445714,132.075,24.56827075,7.789308404,-0.317487841,143.5
138.3708333,135.5445714,132.075,24.56827075,7.796100461,-0.487855039,143.5
138.3708333,135.5445714,132.075,24.56827075,7.796858814,-0.232714383,143.5
129.055,135.5445714,132.075,24.56827075,-29.72163571,-1.716351721,112.4
129.055,135.5445714,132.075,24.56827075,-29.70969806,-1.662451745,112.4
129.055,135.5445714,132.075,24.56827075,-29.71292712,-1.861307676,112.4
129.055,135.5445714,132.075,24.56827075,-29.72124949,-2.12326949,112.4
129.055,135.5445714,132.075,24.56827075,-29.71397932,-1.770867387,112.4
129.055,135.5445714,132.075,24.56827075,-29.72476577,-1.518880553,112.4
138.2291667,135.5445714,145.3916667,24.56827075,-29.78088799,-1.767866471,116.2
138.2291667,135.5445714,145.3916667,24.56827075,-29.78002447,-1.99013391,116.2
138.2291667,135.5445714,145.3916667,24.56827075,-29.77856512,-1.749429769,116.2
138.2291667,135.5445714,145.3916667,24.56827075,-29.75506236,-1.228711411,116.2
138.2291667,135.5445714,145.3916667,24.56827075,-29.76594934,-1.959901721,116.2
138.2291667,135.5445714,145.3916667,24.56827075,-29.77669589,-1.422593011,116.2
136.7941667,135.5445714,145.3916667,24.56827075,7.717379334,-1.004879742,144.9
136.7941667,135.5445714,145.3916667,24.56827075,7.685395918,-0.280895365,144.9
136.7941667,135.5445714,145.3916667,24.56827075,7.701576481,-0.481110454,144.9
136.7941667,135.5445714,145.3916667,24.56827075,7.712878954,-0.268894807,144.9
136.7941667,135.5445714,145.3916667,24.56827075,7.699030788,-0.894874268,144.9
136.7941667,135.5445714,145.3916667,24.56827075,7.70466063,-1.164964712,144.9
160.1583307,135.5445714,145.3916667,24.56827075,31.84129904,1.594812608,177.5
160.1583307,135.5445714,145.3916667,24.56827075,31.84267298,1.289515644,177.5
160.1583307,135.5445714,145.3916667,24.56827075,31.84340519,1.73928137,177.5
160.1583307,135.5445714,145.3916667,24.56827075,31.84021482,1.518039521,177.5
160.1583307,135.5445714,145.3916667,24.56827075,31.84520473,2.039732024,177.5
160.1583307,135.5445714,145.3916667,24.56827075,31.8407427,1.529501919,177.5
131.4045455,135.5445714,145.8066667,161.4817983,7.903683624,-1.428696781,224.2
131.4045455,135.5445714,145.8066667,161.4817983,7.902641514,-1.107886026,224.2
131.4045455,135.5445714,145.8066667,161.4817983,7.896814479,-0.888900907,224.2
131.4045455,135.5445714,145.8066667,161.4817983,7.888005039,-0.986393028,224.2
131.4045455,135.5445714,145.8066667,161.4817983,7.884679712,-1.006316907,224.2
131.4045455,135.5445714,145.8066667,161.4817983,7.889263995,-0.832590338,224.2
133.225,135.5445714,145.8066667,161.4817983,-29.64816913,-1.512470253,165.7
133.225,135.5445714,145.8066667,161.4817983,-29.6605124,-1.21809681,165.7
133.225,135.5445714,145.8066667,161.4817983,-29.65375329,-1.511521474,165.7
133.225,135.5445714,145.8066667,161.4817983,-29.66467455,-1.63457894,165.7
133.225,135.5445714,145.8066667,161.4817983,-29.63805028,-1.480289298,165.7
133.225,135.5445714,145.8066667,161.4817983,-29.61738874,-0.810051035,165.7
139.6883333,135.5445714,145.8066667,161.4817983,31.93387703,0.941164935,289.6
139.6883333,135.5445714,145.8066667,161.4817983,31.93768349,0.796183377,289.6
139.6883333,135.5445714,145.8066667,161.4817983,31.93785889,0.484373219,289.6
139.6883333,135.5445714,145.8066667,161.4817983,31.93115837,1.127174183,289.6
139.6883333,135.5445714,145.8066667,161.4817983,31.94078384,0.684947241,289.6
139.6883333,135.5445714,145.8066667,161.4817983,31.93199214,0.59135289,289.6
138.3391667,135.5445714,132.075,161.4817983,-29.66739102,-1.498546533,172.4
138.3391667,135.5445714,132.075,161.4817983,-29.66457902,-1.672708847,172.4
138.3391667,135.5445714,132.075,161.4817983,-29.66449077,-1.686658409,172.4
138.3391667,135.5445714,132.075,161.4817983,-29.66239928,-1.660887755,172.4
138.3391667,135.5445714,132.075,161.4817983,-29.66705679,-1.678375916,172.4
138.3391667,135.5445714,132.075,161.4817983,-29.67071699,-1.389387183,172.4
138.3708333,135.5445714,132.075,161.4817983,31.91290935,1.062401894,288.5
138.3708333,135.5445714,132.075,161.4817983,31.91611007,0.650176228,288.5
138.3708333,135.5445714,132.075,161.4817983,31.8981538,0.595070955,288.5
138.3708333,135.5445714,132.075,161.4817983,31.89446236,1.026989588,288.5
138.3708333,135.5445714,132.075,161.4817983,31.89446236,1.026989588,288.5
138.3708333,135.5445714,132.075,161.4817983,31.92143399,0.609507471,288.5
129.055,135.5445714,132.075,161.4817983,7.804493356,-1.978903143,231.4
129.055,135.5445714,132.075,161.4817983,7.797273625,-1.842614457,231.4
129.055,135.5445714,132.075,161.4817983,7.803117733,-1.893360611,231.4
129.055,135.5445714,132.075,161.4817983,7.795642718,-1.842793924,231.4
129.055,135.5445714,132.075,161.4817983,7.810324962,-1.764790176,231.4
129.055,135.5445714,132.075,161.4817983,7.803975116,-1.925336495,231.4
138.2291667,135.5445714,145.3916667,161.4817983,-29.6707338,-0.691659935,175.1
138.2291667,135.5445714,145.3916667,161.4817983,-29.68401566,-0.830128299,175.1
138.2291667,135.5445714,145.3916667,161.4817983,-29.67403391,-0.335308854,175.1
138.2291667,135.5445714,145.3916667,161.4817983,-29.67822036,-0.842410978,175.1
138.2291667,135.5445714,145.3916667,161.4817983,-29.69404644,-0.900183121,175.1
138.2291667,135.5445714,145.3916667,161.4817983,-29.68960249,-0.713378957,175.1
136.7941667,135.5445714,145.3916667,161.4817983,31.89219929,0.07409608,288.6
136.7941667,135.5445714,145.3916667,161.4817983,31.86887149,0.709512122,288.6
136.7941667,135.5445714,145.3916667,161.4817983,31.88758981,0.551299105,288.6
136.7941667,135.5445714,145.3916667,161.4817983,31.88869226,0.374982717,288.6
136.7941667,135.5445714,145.3916667,161.4817983,31.8861154,0.447447892,288.6
